"Player","My C Won","Hands","Fold to Any PFR","Fold to F CBet","Att To Steal","PFR","VPIP","WTSD %","WSD","WSD (ns)","Total AF","Total AFq"
"TheDoc.T","-€1.64","126","82.50","66.67","14.29","10.48","20.97","42.42","57.14","58.33","2.67","55.17"
"wyvern001","€1.66","100","89.66","50.00","14.29","10.00","16.00","17.65","66.67","100.00","6.00","31.58"
"pkstarfish","€4.11","67","80.00","100.00","14.29","7.58","28.79","18.18","100.00","100.00","2.00","48.48"
"eXtil0","-€1.25","87","79.41","50.00","14.29","6.98","27.91","31.82","71.43","66.67","1.00","29.17"
"GoOnCal1","-€3.69","89","97.22","100.00","14.29","4.49","8.99","40.00","50.00","0.00","2.00","22.22"
"poega","-€2.41","79","76.92","0.00","14.29","6.41","14.10","50.00","42.86","33.33","2.50","47.62"
"AYNIL23","€1.38","65","90.00","100.00","14.29","9.23","13.85","22.22","50.00","100.00","2.00","22.22"
"bobys2","€3.27","63","61.54","60.00","14.29","8.20","27.87","23.53","50.00","50.00","1.80","40.91"
"pygusko","-€0.82","62","75.00","100.00","14.29","10.53","27.12","47.06","25.00","50.00","","58.82"
"JackGreen499","-€0.42","80","68.75","100.00","14.29","16.46","29.11","5.26","0.00","-","2.75","39.29"
"nazarovadzr","€1.57","98","84.85","66.67","14.29","4.12","19.39","35.00","71.43","75.00","1.13","33.33"
"tighthitman","€1.47","62","80.00","50.00","14.29","6.90","13.56","16.67","100.00","100.00","1.00","28.57"
"master2400","€1.60","107","84.85","50.00","14.29","4.76","10.48","30.77","100.00","100.00","3.67","55.00"
"Deschiado","€1.58","69","73.08","100.00","13.33","7.46","11.94","50.00","60.00","75.00","4.50","64.29"
"Dueller63","-€1.37","63","51.61","22.22","13.33","8.06","35.48","38.10","37.50","42.86","1.11","35.71"
"Snark76","-€0.37","104","87.23","100.00","12.50","3.88","14.56","21.43","33.33","50.00","2.50","35.71"
"marcus.v.w","-€1.53","84","52.94","60.00","12.50","17.86","55.95","20.83","50.00","50.00","1.71","43.90"
"Pigon1313","-€0.21","97","85.19","100.00","12.50","9.38","14.58","13.33","0.00","0.00","","50.00"
"puzzl14","€2.43","109","82.00","100.00","12.50","6.48","12.04","26.67","50.00","66.67","6.00","60.00"
"V_Demsky","-€0.54","159","75.47","33.33","12.50","7.69","15.82","24.00","66.67","75.00","4.50","34.62"
"YaUseZaberu","-€0.20","94","100.00","-","12.50","6.38","6.38","11.11","0.00","-","","22.22"
"sirjnn","-€4.27","80","76.32","40.00","12.50","6.25","27.50","41.67","40.00","25.00","0.33","14.29"
"thevacs","€0.10","74","73.91","25.00","12.50","7.14","59.15","19.05","75.00","66.67","2.17","45.61"
"MrBlondin","€0.54","215","85.48","50.00","12.28","8.96","10.38","10.53","100.00","100.00","2.50","40.00"
"hugomcf","€0.17","194","88.51","33.33","12.00","10.36","18.56","40.00","50.00","57.14","1.60","43.24"
"can4a","-€0.12","309","92.86","50.00","12.00","7.19","9.12","30.77","66.67","55.56","0.95","31.15"
"mchigvintsev","-€0.04","120","100.00","-","11.76","6.25","7.14","80.00","75.00","100.00","1.00","50.00"
"NBKillah","-€0.34","118","90.32","50.00","11.76","9.40","10.26","40.00","16.67","0.00","2.33","43.75"
"Aufschlag007","€7.22","78","76.00","50.00","11.54","6.94","35.14","55.56","46.67","33.33","1.22","39.29"
"batonlviv","€0.16","273","61.00","47.06","11.54","12.50","29.78","35.06","37.04","38.89","1.42","37.76"
"Chrissy828","€6.55","618","89.85","14.29","11.43","5.67","13.11","29.00","62.07","69.23","1.71","38.10"
"KENTMAMED","-€0.78","372","94.12","100.00","11.43","6.22","10.54","26.32","60.00","66.67","1.89","37.78"
"VELUG","€1.44","110","86.84","60.00","11.11","0.92","17.27","29.17","57.14","66.67","0.67","20.69"
"SteffenR12","-€13.34","61","58.82","33.33","11.11","5.26","22.81","44.44","25.00","0.00","0.86","30.00"
"ShaRoVar","-€0.31","93","89.66","-","11.11","6.52","9.78","11.11","0.00","0.00","","44.44"
"AndrianosS.","€0.53","157","77.55","66.67","11.11","8.92","21.66","17.50","71.43","83.33","4.00","50.79"
"Pokernina08","-€2.41","279","79.41","62.50","11.11","6.83","21.22","35.48","54.55","66.67","1.50","39.29"
"Loon_Magic","-€0.46","103","70.21","50.00","11.11","4.95","24.51","25.93","42.86","33.33","1.57","34.38"
"kkleng","-€5.09","401","77.56","40.00","11.11","9.37","23.74","28.89","34.62","36.84","3.00","50.85"
"Scheike70","-€0.82","71","37.04","14.29","11.11","7.04","47.89","47.37","44.44","44.44","1.12","40.43"
"vitos1977","-€1.10","86","73.91","0.00","11.11","9.52","26.19","54.84","41.18","42.86","1.67","44.12"
".nexus.","€1.14","76","84.62","100.00","11.11","6.58","9.21","66.67","83.33","100.00","0.67","25.00"
"vegacha89","€2.11","414","70.49","66.67","10.81","10.45","33.41","31.47","57.78","56.25","2.67","46.56"
"columbus_s5","-€1.55","227","54.55","71.43","10.53","15.32","32.43","30.00","57.14","63.64","2.15","43.43"
"Witten15","-€0.75","152","85.11","-","10.34","5.48","19.86","10.26","50.00","50.00","3.17","39.58"
"heinrich29","-€1.22","116","83.72","66.67","10.00","0.87","18.10","24.00","33.33","50.00","1.13","26.47"
"mean_boy333","-€0.74","83","86.21","100.00","10.00","6.10","23.17","5.26","0.00","-","1.00","13.64"
"Thomberson","€2.57","76","72.41","50.00","10.00","4.05","28.38","34.78","87.50","100.00","7.75","64.58"
"yasha17","€2.32","109","100.00","-","10.00","6.48","7.41","28.57","100.00","100.00","","60.00"
"petroff118","€0.90","88","84.00","100.00","9.52","11.49","14.94","23.08","100.00","100.00","2.67","47.06"
"creepville","-€0.63","113","78.57","20.00","9.38","8.93","16.07","33.33","60.00","60.00","3.00","62.50"
"Marc0La","-€0.67","89","86.49","0.00","9.09","5.88","11.76","22.22","50.00","50.00","0.80","30.77"
"BlindKnyaz","-€4.36","130","70.83","100.00","9.09","13.08","25.38","27.03","20.00","20.00","2.93","61.19"
"idgasf","-€0.24","80","92.00","100.00","9.09","8.75","10.00","12.50","100.00","100.00","3.00","30.00"
"tekato","-€1.98","401","90.73","100.00","9.09","7.50","12.25","10.42","80.00","50.00","4.25","28.81"
"Kasyakkos","-€0.31","125","83.67","100.00","9.09","7.26","16.13","21.05","50.00","33.33","3.00","46.15"
"st4ckem","€0.54","64","78.57","0.00","9.09","11.11","17.46","22.22","50.00","50.00","0.75","35.29"
"arina1197","-€2.52","158","62.07","76.92","9.09","4.49","44.59","28.00","52.38","50.00","1.18","27.37"
"Level07","-€8.33","204","61.73","30.43","8.96","3.63","29.53","41.07","52.17","50.00","0.61","28.75"
"kruzha","-€1.90","286","89.81","66.67","8.70","4.93","16.20","24.44","54.55","25.00","13.50","54.00"
"Ilay777","€5.75","117","46.15","55.56","8.70","5.98","52.99","33.33","50.00","55.56","1.81","49.12"
"Bowdini10","-€1.01","189","86.44","60.00","8.33","3.19","14.36","30.56","63.64","50.00","1.90","40.43"
"DonCherries","-€2.93","86","75.76","100.00","8.33","11.11","32.10","37.93","18.18","12.50","2.00","47.62"
"Felipebp34","€2.56","104","74.29","50.00","8.33","10.68","21.15","44.00","63.64","63.64","1.75","42.42"
"izyblek","-€1.00","205","92.96","100.00","8.33","5.88","8.82","33.33","25.00","28.57","1.44","36.11"
"Fishing90","€8.47","120","82.69","50.00","8.33","7.83","13.91","16.67","66.67","66.67","2.17","46.43"
"sivord","€0.91","96","47.73","80.00","8.33","5.21","63.54","29.03","33.33","50.00","3.38","55.67"
"duqsb","€5.06","65","73.91","75.00","8.00","7.69","18.46","20.00","50.00","100.00","2.00","40.00"
"vinnoe","€2.15","79","86.96","-","7.69","11.69","14.29","55.56","80.00","80.00","1.80","52.94"
"beakiwi","-€4.28","82","76.67","33.33","7.69","5.19","25.97","36.84","57.14","75.00","3.80","61.29"
"WhaleSanjeet","€2.22","68","24.14","75.00","7.41","9.52","79.69","16.00","62.50","75.00","2.60","44.07"
"Gambit217","-€0.22","146","85.71","66.67","7.14","8.39","16.55","10.34","33.33","50.00","5.75","52.27"
"Galan42","-€0.91","78","88.46","100.00","7.14","5.26","9.21","10.00","0.00","0.00","5.00","41.67"
"andrmsan","-€1.06","94","60.00","60.00","6.67","3.30","35.48","18.75","33.33","33.33","2.00","36.84"
"winding23","€2.84","93","77.08","85.71","6.67","15.05","29.03","25.00","80.00","75.00","3.00","50.00"
"beso0908","-€0.46","66","86.96","0.00","6.25","7.69","12.31","13.33","100.00","100.00","2.50","26.32"
"oiram420","€0.22","65","88.24","0.00","6.25","1.59","18.46","33.33","66.67","100.00","2.00","36.36"
